# ----------------------------------------
# iconfinder.com
# Top Events
# 20181116-20191122
# ----------------------------------------

Event Label,Total Events,Unique Events,Event Value,Avg. Value
?,"8,424","7,917",0,0.00
+,"4,846","4,514",0,0.00
e-mail,"4,563","4,162",0,0.00
@,"4,161","3,869",0,0.00
!,"3,657","3,465",0,0.00
$,"2,907","2,714",0,0.00
google+,"2,852","2,529",0,0.00
24/7,"2,188","1,962",0,0.00
e-commerce,"1,940","1,724",0,0.00
%,"1,894","1,762",0,0.00
t-shirt,"1,614","1,480",0,0.00
c#,"1,592","1,430",0,0.00
track,"1,512","1,331",0,0.00
Q&amp;A,"1,468","1,354",0,0.00
100%,"1,321","1,216",0,0.00
c++,"1,302","1,122",0,0.00
Inscreva-se,"1,247",893,0,0.00
instagran,"1,192","1,027",0,0.00
facebok,"1,156","1,067",0,0.00
redes sociales,"1,106",995,0,0.00
ubicacion,"1,098",975,0,0.00
celphone,"1,089","1,036",0,0.00
instagramm,"1,085","1,005",0,0.00
buscar,"1,072",933,0,0.00
mobile.sense.6n3n66p.com,"1,058",857,0,0.00
salir,"1,012",867,0,0.00
cliente,990,885,0,0.00
instargram,984,856,0,0.00
facbook,979,768,0,0.00
q&amp;a,937,882,0,0.00
whatsaap,934,748,0,0.00
fleche,903,845,0,0.00
.net,862,776,0,0.00
localization,858,764,0,0.00
g+,848,793,0,0.00
波士顿作业代写.QQ7878393 百分百包过 http://www.essayaa.com/33j/,839,803,0,0.00
#,826,770,0,0.00
empresa,805,740,0,0.00
correo,772,712,0,0.00
.ico,770,695,0,0.00
&gt;,766,727,0,0.00
mattahan,754,541,0,0.00
facebbok,741,663,0,0.00
movil,740,661,0,0.00
...,732,692,0,0.00
youtub,727,583,0,0.00
C#,723,640,0,0.00
deezer,722,570,0,0.00
telefon,708,622,0,0.00
=,705,665,0,0.00
inst,687,633,0,0.00
wi-fi,684,610,0,0.00
cadastro,683,611,0,0.00
eliminar,671,559,0,0.00
x-ray,663,594,0,0.00
zalo,652,555,0,0.00
airplain,650,583,0,0.00
flechas,644,562,0,0.00
加拿大代写作业.QQ7878393 百分百包过 http://www.essayaa.com/33u/,627,596,0,0.00
instagra,623,590,0,0.00
e-learning,608,561,0,0.00
Redes sociais,605,438,0,0.00
&amp;,601,541,0,0.00
redes sociais,576,517,0,0.00
localização,571,523,0,0.00
18+,568,510,0,0.00
tecnologia,560,497,0,0.00
calculadora,558,491,0,0.00
aceptar,522,416,0,0.00
redes,514,487,0,0.00
adres,506,481,0,0.00
agregar,493,428,0,0.00
salvar,489,403,0,0.00
whatssap,488,404,0,0.00
Câmera,487,321,0,0.00
*,482,436,0,0.00
cancelar,481,405,0,0.00
ventas,477,424,0,0.00
responsability,476,405,0,0.00
R&amp;D,473,447,0,0.00
gestion,471,432,0,0.00
instegram,468,377,0,0.00
instar,452,414,0,0.00
C++,440,386,0,0.00
T-shirt,430,351,0,0.00
&lt;,425,400,0,0.00
"instagra,",418,404,0,0.00
pfeil,408,384,0,0.00
prensa,406,373,0,0.00
Instagran,405,297,0,0.00
panier,398,363,0,0.00
registro,396,345,0,0.00
comida,392,356,0,0.00
cerrar,390,346,0,0.00
bigdata,389,368,0,0.00
gamepad,387,342,0,0.00
whastapp,382,325,0,0.00
minions,376,311,0,0.00
pessoas,376,339,0,0.00
elo,373,314,0,0.00
qustion,370,352,0,0.00
twich,369,294,0,0.00
joystick,362,311,0,0.00
#1,360,333,0,0.00
icone,360,325,0,0.00
libro,359,322,0,0.00
regist,359,321,0,0.00
fecebook,357,226,0,0.00
Sininho,357,268,0,0.00
setas,355,327,0,0.00
kalender,354,322,0,0.00
pesquisar,350,295,0,0.00
squre,349,326,0,0.00
pessoa,348,315,0,0.00
suma,348,318,0,0.00
entrar,340,309,0,0.00
semaforo,339,319,0,0.00
A+,337,309,0,0.00
engrenagem,336,317,0,0.00
proyect,336,312,0,0.00
Mause,334,226,0,0.00
flèche,333,309,0,0.00
engrenage,329,314,0,0.00
boton,328,293,0,0.00
check-in,328,300,0,0.00
contato,328,299,0,0.00
faceboook,328,296,0,0.00
crome,326,272,0,0.00
pornhub,326,289,0,0.00
coração,323,293,0,0.00
E-commerce,320,268,0,0.00
segurity,319,286,0,0.00
servidor,319,296,0,0.00
postgres,313,280,0,0.00
usuarios,313,292,0,0.00
numeros,310,262,0,0.00
flor,309,282,0,0.00
limpiar,309,257,0,0.00
searc,307,298,0,0.00
instagrame,306,265,0,0.00
istagram,306,275,0,0.00
seguridad,306,278,0,0.00
social-media,305,250,0,0.00
udemy,305,274,0,0.00
revit,304,254,0,0.00
borrar,303,262,0,0.00
noimage,303,291,0,0.00
post-it,302,287,0,0.00
50%,301,286,0,0.00
garanty,297,280,0,0.00
direccion,296,266,0,0.00
E-mail,295,250,0,0.00
sistema,295,269,0,0.00
battle.net,293,271,0,0.00
solidworks,293,258,0,0.00
quizz,292,259,0,0.00
excluir,291,266,0,0.00
modificar,291,252,0,0.00
circulo,290,270,0,0.00
arraw,287,245,0,0.00
haus,286,263,0,0.00
G+,285,264,0,0.00
shopee,285,256,0,0.00
.,278,263,0,0.00
forder,278,237,0,0.00
a+,277,266,0,0.00
lampada,276,252,0,0.00
r&amp;d,276,261,0,0.00
e-book,274,259,0,0.00
personne,274,247,0,0.00
£,273,258,0,0.00
facebook.com,273,241,0,0.00
line@,272,254,0,0.00
archivo,268,242,0,0.00
hoja,267,249,0,0.00
konum,267,251,0,0.00
tweter,267,239,0,0.00
libros,266,220,0,0.00
foco,264,251,0,0.00
grafics,263,240,0,0.00
Inscreva,262,215,0,0.00
magazin,262,240,0,0.00
aliexpress,261,215,0,0.00
calendrier,261,241,0,0.00
lapiz,259,220,0,0.00
+18,258,235,0,0.00
youtobe,258,181,0,0.00
reactjs,254,235,0,0.00
cerebro,253,231,0,0.00
inventary,253,233,0,0.00
亚洲黄色网站 △【新地址→11.RRGGBB6.INFO】&lt;-输-入-打-开,253,161,0,0.00
dados,251,225,0,0.00
croix,249,229,0,0.00
producto,249,219,0,0.00
rrss,249,235,0,0.00
stadistic,249,224,0,0.00
instergram,248,211,0,0.00
mause,246,199,0,0.00
objetivo,246,231,0,0.00
powerbi,246,232,0,0.00
vscode,246,224,0,0.00
instagam,244,220,0,0.00
whatssapp,244,228,0,0.00
garantee,243,218,0,0.00
moodle,243,227,0,0.00
animales,241,194,0,0.00
instagrm,241,227,0,0.00
Jogo,241,166,0,0.00
papelera,239,218,0,0.00
persom,239,226,0,0.00
productos,239,219,0,0.00
almacen,238,213,0,0.00
atencion,238,231,0,0.00
inprogress,238,218,0,0.00
Mattahan,237,155,0,0.00
golang,236,213,0,0.00
citrix,235,208,0,0.00
livraison,235,217,0,0.00
mantenimiento,235,221,0,0.00
01,232,214,0,0.00
tiktok,232,207,0,0.00
atendimento,231,218,0,0.00
battlenet,231,200,0,0.00
sesion,231,216,0,0.00
accueil,230,210,0,0.00
mensaje,228,210,0,0.00
livro,227,208,0,0.00
ınstagram,226,162,0,0.00
transporte,226,198,0,0.00
alvo,225,210,0,0.00
international,225,198,0,0.00
téléphone,225,209,0,0.00
on/off,224,208,0,0.00
notepad++,223,211,0,0.00
eua,222,206,0,0.00
ingresar,222,197,0,0.00
whattsapp,222,195,0,0.00
Calendário,221,158,0,0.00
datos,221,198,0,0.00
perfil,220,195,0,0.00
faster,219,202,0,0.00
ok.ru,219,166,0,0.00
attendence,218,185,0,0.00
whatapps,218,186,0,0.00
Coração,217,165,0,0.00
+1,216,203,0,0.00
engranaje,216,201,0,0.00
inventario,216,197,0,0.00
shiny,216,195,0,0.00
wathsapp,216,190,0,0.00
carrinho,215,192,0,0.00
teclado,215,188,0,0.00
diseño,214,192,0,0.00
fre,213,191,0,0.00
mensage,213,196,0,0.00
estoque,211,185,0,0.00
watsap,211,193,0,0.00
zahnrad,211,199,0,0.00
consulta,210,196,0,0.00
postgresql,210,191,0,0.00
redux,210,188,0,0.00
endereço,209,189,0,0.00
herz,209,195,0,0.00
reporte,209,195,0,0.00
fotografia,208,181,0,0.00
responsable,208,185,0,0.00
oficina,207,184,0,0.00
icones,206,180,0,0.00
icono,206,185,0,0.00
industrie,206,191,0,0.00
tiket,206,195,0,0.00
carros,205,173,0,0.00
pouce,204,186,0,0.00
10%,203,188,0,0.00
cursos,203,186,0,0.00
faceook,203,179,0,0.00
pedido,203,195,0,0.00
www.,202,190,0,0.00
youtubr,202,182,0,0.00
researchgate,201,175,0,0.00
stok,199,177,0,0.00
langue,197,185,0,0.00
ojo,197,186,0,0.00
faceboock,195,158,0,0.00
arquivo,194,170,0,0.00
juegos,194,167,0,0.00
minimizar,194,173,0,0.00
paiement,194,184,0,0.00
.com,193,178,0,0.00
danse,193,169,0,0.00
emogi,193,178,0,0.00
firma,190,176,0,0.00
linkeding,190,177,0,0.00
produtos,190,177,0,0.00
reseau,190,180,0,0.00
youtube.com,190,175,0,0.00
porcent,189,170,0,0.00
xamarin,189,162,0,0.00
imoji,188,179,0,0.00
proceso,188,170,0,0.00
valide,188,178,0,0.00
engrane,187,178,0,0.00
linkden,187,162,0,0.00
recommand,187,166,0,0.00
ubicación,187,171,0,0.00
mercado,186,165,0,0.00
/,185,170,0,0.00
configuracion,185,158,0,0.00
E-MAIL,185,170,0,0.00
formulario,185,169,0,0.00
frete,185,175,0,0.00
letras,185,155,0,0.00
facebook,184,135,0,0.00
instag,184,172,0,0.00
Google+,183,160,0,0.00
logiciel,183,168,0,0.00
escola,182,163,0,0.00
follow-up,182,161,0,0.00
ropa,182,167,0,0.00
daum,181,173,0,0.00
quickbooks,181,164,0,0.00
contrato,180,165,0,0.00
geforce,180,158,0,0.00
phne,180,170,0,0.00
atenção,179,164,0,0.00
Comida,179,130,0,0.00
futur,179,171,0,0.00
